DATE,HPIPONM226S_PC1
1992-01-01,2.35603
1992-04-01,2.14440
1992-07-01,2.77548
1992-10-01,2.74108
1993-01-01,1.53561
1993-04-01,2.67460
1993-07-01,2.67471
1993-10-01,2.77031
1994-01-01,3.66427
1994-04-01,3.52599
1994-07-01,3.31835
1994-10-01,2.87618
1995-01-01,2.61250
1995-04-01,2.24410
1995-07-01,2.71298
1995-10-01,2.75038
1996-01-01,3.02092
1996-04-01,3.21751
1996-07-01,2.78938
1996-10-01,2.78866
1997-01-01,2.58221
1997-04-01,2.66817
1997-07-01,2.80875
1997-10-01,3.32894
1998-01-01,3.91376
1998-04-01,4.52891
1998-07-01,5.16140
1998-10-01,5.70589
1999-01-01,5.93694
1999-04-01,6.02527
1999-07-01,6.29097
1999-10-01,6.14804
2000-01-01,6.46462
2000-04-01,6.66819
2000-07-01,6.69073
2000-10-01,6.96071
2001-01-01,7.02585
2001-04-01,6.99129
2001-07-01,6.92669
2001-10-01,6.75723
2002-01-01,6.58957
2002-04-01,6.77985
2002-07-01,7.19654
2002-10-01,7.63005
2003-01-01,7.75220
2003-04-01,7.49222
2003-07-01,7.57641
2003-10-01,7.82701
2004-01-01,8.24284
2004-04-01,9.29464
2004-07-01,9.91444
2004-10-01,10.16949
2005-01-01,10.40948
2005-04-01,10.51555
2005-07-01,10.58909
2005-10-01,10.18533
2006-01-01,9.17862
2006-04-01,7.07550
2006-07-01,4.51168
2006-10-01,2.81707
2007-01-01,1.92471
2007-04-01,1.06401
2007-07-01,-0.48299
2007-10-01,-2.71748
2008-01-01,-5.36223
2008-04-01,-7.88562
2008-07-01,-9.12791
2008-10-01,-10.19227
2009-01-01,-8.51791
2009-04-01,-7.21435
2009-07-01,-5.15011
2009-10-01,-2.25885
2010-01-01,-2.79502
2010-04-01,-1.78680
2010-07-01,-2.95007
2010-10-01,-3.86459
2011-01-01,-5.11749
2011-04-01,-5.53587
2011-07-01,-3.60554
2011-10-01,-2.48039
2012-01-01,0.02231
2012-04-01,2.60853
2012-07-01,3.57029
2012-10-01,4.91341
2013-01-01,6.58005
2013-04-01,7.03999
2013-07-01,7.41062
2013-10-01,6.83552
2014-01-01,6.02382
2014-04-01,4.80638
2014-07-01,4.27974
2014-10-01,4.68667
2015-01-01,4.78345
2015-04-01,5.18710
2015-07-01,5.34805
2015-10-01,5.48991
2016-01-01,5.40337
2016-04-01,5.54618
2016-07-01,5.84897
2016-10-01,5.98514
2017-01-01,5.96637
2017-04-01,6.33621
2017-07-01,6.32487
2017-10-01,6.22040
2018-01-01,6.95583
2018-04-01,6.39748
2018-07-01,6.04784
2018-10-01,5.63650
2019-01-01,4.99882
2019-04-01,5.08807
2019-07-01,4.99680
2019-10-01,5.52464
2020-01-01,6.23889
2020-04-01,5.76118
2020-07-01,8.25959
2020-10-01,11.17118
2021-01-01,13.08681
2021-04-01,17.81826
2021-07-01,18.60512
2021-10-01,17.70045
2022-01-01,18.91433
2022-04-01,.
